Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population",
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age15_19,[15-19],13.00000000,0.16497462,,0.11406116,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age20_24,[20-24],87.00000000,0.62361121,,0.78336091,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age25_29,[25-29],172.00000000,1.18883052,,1.64100998,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age30_34,[30-34],310.00000000,2.09530247,,3.11961740,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age35_39,[35-39],447.00000000,2.53286491,,4.48188731,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age40_44,[40-44],847.00000000,3.27672250,,8.01998121,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age45_49,[45-49],1223.00000000,2.71777778,,10.84702974,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age50_54,[50-54],1120.00000000,1.66850401,,10.21612672,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age55_59,[55-59],866.00000000,0.99736263,,9.00168506,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age60_64,[60-64],523.00000000,0.50984100,,6.54844737,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age65_69,[65-69],251.00000000,0.22906685,,4.38963214,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age70_74,[70-74],135.00000000,0.11229319,,3.09693688,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age75_79,[75-79],68.00000000,0.04753882,,2.13624197,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age80_84,[80-84],23.00000000,0.01362051,,0.98629056,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age85_over,[85+],14.00000000,0.00507436,,0.78557461,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age15_19,[15-19],4.00000000,0.05250722,,0.03511089,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age20_24,[20-24],76.00000000,0.53124563,,0.67293309,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age25_29,[25-29],151.00000000,1.02777022,,1.41465932,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age30_34,[30-34],277.00000000,1.79951926,,2.75725075,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age35_39,[35-39],375.00000000,2.16100962,,3.77549440,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age40_44,[40-44],685.00000000,2.64867373,,6.58264837,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age45_49,[45-49],1016.00000000,2.33488073,,9.10487598,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age50_54,[50-54],1036.00000000,1.51917296,,9.37105309,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age55_59,[55-59],830.00000000,0.93123450,,8.44073920,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age60_64,[60-64],530.00000000,0.49296823,,6.41182292,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age65_69,[65-69],278.00000000,0.24961167,,4.62890579,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age70_74,[70-74],132.00000000,0.10740177,,2.95462965,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age75_79,[75-79],77.00000000,0.05408405,,2.37676328,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age80_84,[80-84],30.00000000,0.01761370,,1.28115830,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age85_over,[85+],12.00000000,0.00420426,,0.62837917,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age15_19,[15-19],5.00000000,0.06921373,,0.04418609,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age20_24,[20-24],73.00000000,0.51292861,,0.63566270,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age25_29,[25-29],184.00000000,1.23068691,,1.69192944,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age30_34,[30-34],272.00000000,1.71803941,,2.66907878,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age35_39,[35-39],304.00000000,1.75034546,,3.06307445,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age40_44,[40-44],549.00000000,2.14780329,,5.34240849,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age45_49,[45-49],891.00000000,2.15284993,,8.09390382,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age50_54,[50-54],1003.00000000,1.47876214,,9.02199748,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age55_59,[55-59],840.00000000,0.91560119,,8.35434102,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age60_64,[60-64],531.00000000,0.48622812,,6.24438916,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age65_69,[65-69],311.00000000,0.26153135,,4.89386990,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age70_74,[70-74],146.00000000,0.11585463,,3.18970834,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age75_79,[75-79],74.00000000,0.05195754,,2.22408698,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age80_84,[80-84],37.00000000,0.02199017,,1.58201396,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age85_over,[85+],16.00000000,0.00544027,,0.79286697,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age15_19,[15-19],3.00000000,0.04438526,,0.02681399,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age20_24,[20-24],78.00000000,0.55299539,,0.66930786,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age25_29,[25-29],205.00000000,1.36457432,,1.85022559,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age30_34,[30-34],252.00000000,1.53303322,,2.43193102,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age35_39,[35-39],319.00000000,1.81828545,,3.20642169,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age40_44,[40-44],523.00000000,2.04873081,,5.14224300,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age45_49,[45-49],801.00000000,1.97626508,,7.39202794,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age50_54,[50-54],959.00000000,1.42145673,,8.60605432,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age55_59,[55-59],820.00000000,0.87237755,,7.98474719,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age60_64,[60-64],549.00000000,0.48874289,,6.30091446,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age65_69,[65-69],305.00000000,0.24532673,,4.52935139,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age70_74,[70-74],138.00000000,0.10331352,,2.93228026,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age75_79,[75-79],84.00000000,0.05746891,,2.44489526,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age80_84,[80-84],41.00000000,0.02423540,,1.75261161,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age85_over,[85+],16.00000000,0.00525517,,0.76204774,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age15_19,[15-19],5.00000000,0.07323861,,0.04524439,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age20_24,[20-24],71.00000000,0.49688572,,0.60326063,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age25_29,[25-29],174.00000000,1.11402779,,1.54206296,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age30_34,[30-34],239.00000000,1.39946130,,2.26549561,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age35_39,[35-39],300.00000000,1.62162162,,2.99870636,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age40_44,[40-44],474.00000000,1.88147501,,4.69880930,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age45_49,[45-49],714.00000000,1.81767267,,6.69602539,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age50_54,[50-54],948.00000000,1.41290092,,8.51911918,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age55_59,[55-59],807.00000000,0.84069506,,7.71782706,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age60_64,[60-64],582.00000000,0.50083472,,6.52512892,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age65_69,[65-69],333.00000000,0.25654458,,4.69218161,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age70_74,[70-74],151.00000000,0.10875358,,3.09282299,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age75_79,[75-79],85.00000000,0.05694799,,2.39310965,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age80_84,[80-84],32.00000000,0.01914208,,1.35567256,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age85_over,[85+],20.00000000,0.00647700,,0.93127776,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age15_19,[15-19],1.00000000,0.01117194,,0.00922993,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age20_24,[20-24],41.00000000,0.23384475,,0.36210342,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age25_29,[25-29],145.00000000,0.61560669,,1.19396054,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age30_34,[30-34],222.00000000,0.78506259,,1.89702828,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age35_39,[35-39],256.00000000,0.79835340,,2.35751949,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age40_44,[40-44],270.00000000,0.74118810,,2.66835808,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age45_49,[45-49],343.00000000,0.71229804,,3.44063190,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age50_54,[50-54],494.00000000,0.68907797,,4.78703740,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age55_59,[55-59],652.00000000,0.57364068,,6.09228219,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age60_64,[60-64],541.00000000,0.34356405,,5.38314564,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age65_69,[65-69],394.00000000,0.21561159,,4.65430889,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age70_74,[70-74],259.00000000,0.12376770,,3.89736302,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age75_79,[75-79],137.00000000,0.06349913,,3.16617618,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age80_84,[80-84],54.00000000,0.02533938,,1.92470621,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age85_over,[85+],27.00000000,0.00683683,,1.10583903,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age15_19,[15-19],3.00000000,0.04075533,,0.02768244,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age20_24,[20-24],41.00000000,0.28497950,,0.35890779,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age25_29,[25-29],154.00000000,0.79209958,,1.27227504,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age30_34,[30-34],220.00000000,1.00415354,,1.91103805,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age35_39,[35-39],214.00000000,0.84782695,,2.00510158,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age40_44,[40-44],247.00000000,0.87604185,,2.46026694,
